REF_AREA,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,Multiplicateur d'unité,REVENUE_CODE
KIR,USD,2018,7.439,Millions,1200
KIR,USD,2019,6.05,Millions,1200
KIR,USD,2020,6.677,Millions,1200
KIR,USD,2021,9.534,Millions,1200
KIR,USD,2022,8.947,Millions,1200
CMR,USD,2016,777.342,Millions,1200
CMR,USD,2017,664.484,Millions,1200
CMR,USD,2018,795.905,Millions,1200
CMR,USD,2019,780.752,Millions,1200
CMR,USD,2020,798.871,Millions,1200
CMR,USD,2021,843.412,Millions,1200
CMR,USD,2022,1066.586,Millions,1200
MLI,USD,2016,348.694,Millions,1200
MLI,USD,2017,431.449,Millions,1200
MLI,USD,2018,363.417,Millions,1200
MLI,USD,2019,432.049,Millions,1200
MLI,USD,2020,567.921,Millions,1200
MLI,USD,2021,600.282,Millions,1200
MLI,USD,2022,548.039,Millions,1200
TTO,USD,2016,1314.106,Millions,1200
TTO,USD,2017,1294.392,Millions,1200
TTO,USD,2018,1733.618,Millions,1200
TTO,USD,2019,2044.866,Millions,1200
TTO,USD,2020,1212.592,Millions,1200
TTO,USD,2021,1536.88,Millions,1200
TTO,USD,2022,3478.138,Millions,1200
SLV,USD,2016,769.63,Billions,1200
SLV,USD,2017,870.4,Billions,1200
SLV,USD,2018,914.274,Billions,1200
SLV,USD,2019,922.048,Billions,1200
SLV,USD,2020,933.547,Billions,1200
